IDT_PI;NUM_TIE;NOM_TIE;PRN;ADR_LIG1;ADR_LIG2;ADR_LIG3;ADR_LIG4;ADR_LIG5;ADR_LIG6;NUM_TEL_DOM_INL;NUM_TEL_MOB_INL;ADR_EMA;NOM_VIL;COD_IDT_NTN;DAT_MAJ_ADR;LIB_TIT;COD_PST;COD_PAY_ISO;NOM_CMU_NAI
655010584;"2900000041256";"ELIE";"SIENNA";"MME SIENNA ELIE";"";"";"";"RUE MARIE CURIE";"6030 MARCHIENNE-AU-PONT";"076839461";"";"";"MARCHIENNE-AU-PONT";"46033169640";24NOV2018;"Madame";"6030";"BE";"MONTIGNIES SUR SAMBRE"
655010586;"2900000041835";"SACHA";"NAOMI";"MME NAOMI SACHA";"";"";"";"PLACE D AMSTERDAM";"1180 UCCLE";"";"0425969791";"ZYCILGGG@509S.TEST";"UCCLE";"42090460625";07OCT2024;"Madame";"1180";"BE";"BRUXELLES"
655010587;"2900000041899";"ALIX";"MILO";"M MILO ALIX";"";"";"";"FBI AFTTQXG 618";"8790 WAREGEM";"";"0415032531";"";"WAREGEM";"66100100959";17FEB2020;"Monsieur";"8790";"BE";"AKLIM"
655010595;"2900000042528";"OLIVIA";"SANDY";"GUHF. SANDY OLIVIA";"";"";"";"LAAN DE MADRID";"9040 SINT-AMANDSBERG";"";"0432813198";"";"SINT-AMANDSBERG";"88060207806";24NOV2018;"Mevrouw";"9040";"BE";"ESKISEHIR"
655010596;"2900000042567";"ANDREA";"SABRINA";"MME SABRINA ANDREA";"";"";"ROUTE DE BERLIN";"";"66690 SOREDE";"076951491";"0432507284";"KPKWXHTK4ZM4@DV85U0.TEST";"SOREDE";"52012167486";03JUN2022;"Madame";"66690";"FR";"KEUMIEE"
655010598;"2900000042799";"NOA";"JENNY";"GUHF. JENNY NOA";"";"";"";"BRUSSELKAAI";"2440 GEEL";"";"0447124909";"ZPDLZI@7P2ZOU.TEST";"GEEL";"62041680842";05MAR2024;"Mevrouw";"2440";"BE";"KORTRIJK"
655010599;"2900000042913";"DYLAN";"GWENAELLE";"MME GWENAELLE DYLAN";"";"";"";"ROUTE DE BERLIN";"1070 ANDERLECHT";"";"0418240177";"EDFJZHVJK@8OCU.TEST";"ANDERLECHT";"39061866049";24NOV2018;"Madame";"1070";"BE";"ANVERS"
655010603;"2900000043130";"ALIX";"ANTOINE";"SHF. ANTOINE ALIX";"";"";"";"BIBLIOTHEEKGAARDE";"8620 NIEUWPOORT";"053072275";"0444562676";"1JRXLPOJW@AS52RX.TEST";"NIEUWPOORT";"78120188729";24NOV2018;"Mijnheer";"8620";"BE";"OOSTENDE"
655010605;"2900000043231";"BISSONNETTE";"GAEL";"M GAEL BISSONNETTE";"";"";"";"PLACE MARIE CURIE";"4624 ROMSEE";"";"0423512624";"R1KXMWXJ0488C@Y4TZ.TEST";"ROMSEE";"65022853504";05JUL2023;"Monsieur";"4624";"BE";"ROCOURT"
655010606;"2900000043232";"BRASSARD";"JADE";"MME JADE BRASSARD";"";"";"";"PLACE MARIE CURIE";"4624 ROMSEE";"";"0425202059";"R1KXMWXJ0488C@Y4TZ.TEST";"ROMSEE";"70122267624";05JUL2023;"Madame";"4624";"BE";"ROCOURT"
